type,size,risk,r,angle,z
Fragment,Medium,Critical,31.3730701077031,306.306992635954,115.465846107837
Satellite,Small,Critical,14.4652936004953,103.008615284993,84.2033736284007
Fragment,Small,Low,75.2138458162866,230.561018637571,132.425473601711
Fragment,Large,Critical,20.0433699961522,113.098342981309,79.1718162443431
Satellite,Small,Critical,64.7487550006994,344.869583933683,77.644474259695
Satellite,Large,Moderate,35.29447751502,12.0324860767813,86.6815622161363
Fragment,Large,Moderate,25.6146445319519,208.725423779863,112.397303271365
Rocket_Body,Medium,Low,44.1776370627385,59.9412769378254,144.703571824269
Fragment,Medium,Critical,82.1301198600658,256.399273863777,11.0345031323648
Fragment,Medium,Low,45.2884219214115,63.3205020307183,8.01519035865257
Fragment,Large,Critical,77.569268428995,84.7379742834087,140.6325506111
Fragment,Medium,High,21.2937667119235,177.973491976472,79.4813438277309
Satellite,Small,High,79.5494277698571,329.340581998876,92.2354521850404
Fragment,Small,Low,31.3239992415983,76.2171739732695,72.3635402392093
Rocket_Body,Large,Low,70.9653816899985,51.9264076025172,14.0486178911211
Satellite,Large,Low,60.9203399356896,273.231659467451,115.213406762799
Rocket_Body,Medium,Moderate,93.6230245490518,180.223031640215,112.083696763288
Rocket_Body,Large,Moderate,44.8590266177782,328.242640457437,46.7554982239218
Rocket_Body,Large,Moderate,15.9548669950996,52.7812405775432,45.93588678426
Rocket_Body,Small,Low,11.7239936996127,232.534041488294,125.676207135827
Satellite,Small,Critical,84.4172704875477,83.8364926146534,10.8535886611989
Satellite,Medium,High,57.2262073895288,56.4337543145901,132.165772253484
Rocket_Body,Large,Low,79.7719646651454,246.034589456617,38.4992534843871
Rocket_Body,Large,Moderate,31.0983040010363,213.726463167143,88.947712163324
Satellite,Small,Moderate,41.057537096191,271.737885010439,140.399126850266
Satellite,Large,Low,12.7093484990187,111.406527520625,101.718375230496
Satellite,Small,Low,96.53430921167,161.269796297588,62.1644718700554
Fragment,Medium,Moderate,70.1081116030732,145.96980347895,103.430131335812
Fragment,Small,Critical,93.9884578983375,354.272207027945,51.5969454474555
Fragment,Large,Moderate,33.8946766686165,105.209624426179,41.5887624523779
Rocket_Body,Medium,Moderate,65.0317250103094,106.134205804836,149.502491690201
Fragment,Small,Low,71.0649971463374,127.637355178298,112.618534676968
Rocket_Body,Small,Critical,38.5794730231829,203.253869264515,96.7079966072726
Rocket_Body,Medium,Moderate,86.3298311514067,90.8361879349482,53.2934464828978
Fragment,Medium,Moderate,95.2445316610223,329.504378536538,7.37412437325722
Rocket_Body,Small,High,89.6369605926403,95.6468033518548,4.65853140527334
Fragment,Large,Low,76.5160278345435,322.49366336167,83.1271883173198
Fragment,Small,High,34.9718211752458,37.2510229127704,114.304908155857
Satellite,Medium,High,35.3454437895068,236.362572863874,80.6068785665782
Fragment,Small,Moderate,96.7024288401434,326.514786637767,126.117760790867
Satellite,Medium,Low,10.9256046342122,60.7497978233626,5.01397996398324
Fragment,Medium,Critical,74.444497591793,348.597705635731,55.012811463891
Fragment,Large,Moderate,73.5621546299736,163.038009749584,35.5605586761267
Satellite,Medium,Critical,66.0420586854817,340.457439038768,67.0909452235683
Satellite,Medium,Critical,99.1097961478179,243.655215706816,10.8564589791183
Fragment,Large,Low,38.0691492187352,108.571273154478,143.11974623566
Rocket_Body,Medium,High,40.5974677413923,67.7889089701583,33.4883101604041
Satellite,Large,Low,17.10454626519,109.344616641035,138.346166322537
Rocket_Body,Large,Critical,49.8518322889363,33.4862673345629,63.8839732555022
Rocket_Body,Medium,Moderate,33.4943673611363,51.7924678835987,147.828619988282
Rocket_Body,Medium,Critical,40.9048031959879,37.6777585247332,83.1087575190316
Satellite,Small,Moderate,85.1114611230064,152.25967574696,139.624929626371
Rocket_Body,Large,Moderate,94.1936062174746,286.408215452731,0.802348304133426
Satellite,Small,Low,26.7159764804667,50.8980795178824,112.235820927135
Rocket_Body,Medium,Critical,43.5258038398119,46.9153559420409,135.457597965377
Fragment,Small,High,93.5767505903854,231.634421826239,20.9580850468431
Fragment,Large,Critical,15.56276146203,70.9858735085038,14.4188777598227
Satellite,Small,Critical,18.312447530024,35.1396137192369,63.6858910778933
Fragment,Large,High,24.6511890285606,60.0654881540079,140.05183591994
Fragment,Medium,Low,63.5691550714187,332.543302515639,81.3579840285658
Rocket_Body,Medium,Critical,23.5425043905397,295.729650999428,79.1184695582598
Satellite,Large,Critical,97.126874330566,127.463242447833,21.1689177448982
Rocket_Body,Medium,Moderate,50.2043074532668,236.095476237861,0.118426663982817
Rocket_Body,Medium,Critical,55.1366164315149,193.419242520493,121.521013611819
Rocket_Body,Medium,High,32.1992754224865,243.764734853723,13.1361844479357
Rocket_Body,Medium,Moderate,52.386422719126,245.761614886593,95.0774728102986
Rocket_Body,Large,Low,69.572226937331,226.344245421597,137.192468177278
Rocket_Body,Small,Moderate,77.6059423258638,95.796492673431,31.2977869737646
Rocket_Body,Small,High,77.8481274438921,14.0423114746145,99.7909254355366
Satellite,Medium,High,62.0102001424679,164.004041516439,11.8047865061264
Fragment,Small,Moderate,91.3923797494471,320.750598488653,90.5632715756419
Rocket_Body,Small,Low,83.5667062575498,205.019013066687,24.5897581429804
Rocket_Body,Medium,Moderate,78.1343303228763,299.660775012686,110.393034077276
Rocket_Body,Medium,Low,15.0044969512414,356.984763466042,45.1846942190862
Rocket_Body,Small,Moderate,10.6190165997684,58.9018334897794,69.5086513206969
Rocket_Body,Large,High,29.1202549475925,249.039950091113,89.9145813041432
Rocket_Body,Medium,Critical,69.7171234522107,242.745686532008,25.6910115999359
